rank,name,ioc,dob
145,Moez Echargui,TUN,1993-01-10
146,Chris Rodesch,LUX,2001-07-18
147,Francesco Passaro,ITA,2001-01-07
148,Billy Harris,GBR,1995-01-25
149,Kyrian Jacquet,FRA,2001-05-11
150,Nicolas Mejia,COL,2000-02-11
151,Michael Zheng,USA,2004-01-27
152,Pablo Llamas Ruiz,ESP,2002-10-13
153,Lloyd Harris,RSA,1997-02-24
154,Alex Bolt,AUS,1993-01-05
155,Hugo Dellien,BOL,1993-06-16
156,Nicolas Jarry,CHI,1995-10-11
157,Lukas Klein,SVK,1998-03-22
158,Chun Hsin Tseng,TPE,2001-08-08
159,Bu Yunchaokete,CHN,2002-01-19
160,Ugo Blanchet,FRA,1999-01-05
161,Zsombor Piros,HUN,1999-10-13
162,Mark Lajal,EST,2003-05-12
163,Alex Molcan,SVK,1997-12-01
164,Giulio Zeppieri,ITA,2001-12-07
165,Rei Sakamoto,JPN,2006-06-24
166,Arthur Fery,GBR,2002-07-12
167,Alex Barrena,ARG,2002-10-10
168,Leandro Riedi,SUI,2002-01-27
169,Toby Samuel,GBR,2002-09-06
170,Jerome Kym,SUI,2003-02-12
171,Yoshihito Nishioka,JPN,1995-09-27
172,Elias Ymer,SWE,1996-04-10
173,Federico Agustin Gomez,ARG,1996-11-26
174,Joel Schwaerzler,AUT,2006-01-27
175,Guy Den Ouden,NED,2002-04-08
176,Jurij Rodionov,AUT,1999-05-16
177,David Goffin,BEL,1990-12-07
178,Luka Mikrut,CRO,2004-04-16
179,Clement Chidekh,FRA,2001-06-13
180,Vitaliy Sachko,UKR,1997-07-14
181,Nishesh Basavareddy,USA,2005-05-02
182,Zdenek Kolar,CZE,1996-10-09
183,Facundo Diaz Acosta,ARG,2000-12-15
184,Daniil Glinka,EST,2000-05-12
185,Harold Mayot,FRA,2002-02-04
186,Justin Engel,GER,2007-10-01
187,Clement Tabur,FRA,2000-01-24
188,Marco Cecchinato,ITA,1992-09-30
189,Bernard Tomic,AUS,1992-10-21
190,August Holmgren,DEN,1998-04-22
191,Jay Clarke,GBR,1998-07-27
192,Matteo Gigante,ITA,2002-01-04
193,Colton Smith,USA,2003-03-05
194,Lukas Neumayer,AUT,2002-09-06
195,Juan Pablo Ficovich,ARG,1997-01-24
196,Juan Carlos Prado Angelo,BOL,2005-03-06
197,Genaro Alberto Olivieri,ARG,1998-08-04
198,Timofey Skatov,KAZ,2001-01-21
199,Gael Monfils,FRA,1986-09-01
200,Luka Pavlovic,FRA,2000-03-30
201,Laslo Djere,SRB,1995-06-02
202,Daniel Evans,GBR,1990-05-23
203,Remy Bertola,SUI,1998-08-31
204,Roberto Carballes Baena,ESP,1993-03-23
205,Alexis Galarneau,CAN,1999-03-02
206,Federico Cina,ITA,2007-03-30
207,Matej Dodig,CRO,2005-07-19
208,Gilles Arnaud Bailly,BEL,2005-09-19
209,Lorenzo Giustino,ITA,1991-09-10
210,Stefanos Sakellaridis,GRE,2004-09-13
211,Gonzalo Bueno,PER,2004-04-03
212,Hugo Grenier,FRA,1996-03-23
213,Dan Added,FRA,1999-04-13
214,Joao Lucas Reis Da Silva,BRA,2000-03-26
215,Yu Hsiou Hsu,TPE,1999-04-02
216,Oliver Crawford,GBR,1999-04-30
217,Rio Noguchi,JPN,1998-12-28
218,Pierre Hugues Herbert,FRA,1991-03-18
219,Andres Andrade,ECU,1998-12-14
220,Yi Zhou,CHN,2005-03-14
221,Ilia Simakin,RUS,2003-10-27
222,Borna Coric,CRO,1996-11-14
223,Lautaro Midon,ARG,2004-03-29
224,Felix Gill,GBR,2002-06-01
225,Kimmer Coppejans,BEL,1994-02-07
226,Alvaro Guillen Meza,ECU,2003-01-02
227,Tom Gentzsch,GER,2003-09-05
228,Gianluca Cadenasso,ITA,2004-09-29
229,Roman Safiullin,RUS,1997-08-07
230,Jason Kubler,AUS,1993-05-19
231,Santiago Fa Rodriguez Taverna,ARG,1999-07-16
232,Andrea Collarini,ARG,1992-01-31
233,Alejandro Moro Canas,ESP,2000-12-07
234,Yosuke Watanuki,JPN,1998-04-12
235,Kaichi Uchida,JPN,1994-08-23
236,Frederico Ferreira Silva,POR,1995-03-18
237,Harry Wendelken,GBR,2001-12-18
238,Max Houkes,NED,2000-07-03
239,James Mccabe,AUS,2003-07-05
240,Zhizhen Zhang,CHN,1996-10-16
241,Pedro Boscardin Dias,BRA,2003-01-28
242,Tristan Boyer,USA,2001-04-21
243,Daniel Elahi Galan,COL,1996-06-18
244,Gauthier Onclin,BEL,2001-02-26
245,George Loffhagen,GBR,2001-04-19
246,Charles Broom,GBR,1998-04-24
247,Liam Broady,GBR,1994-01-04
248,Thiago Seyboth Wild,BRA,2000-03-10
249,Nerman Fatic,BIH,1994-10-24
250,Murphy Cassone,USA,2002-08-16
251,Fajing Sun,CHN,1996-10-03
252,Brandon Holt,USA,1998-04-06
253,Henri Squire,GER,2000-09-27
254,Darwin Blanch,USA,2007-09-28
255,Raul Brancaccio,ITA,1997-05-04
256,Michael Mmoh,USA,1998-01-10
257,Marko Topo,GER,2003-09-13
258,Diego Dedura Palomero,GER,2008-03-12
259,Ivan Gakhov,RUS,1996-11-04
260,Juncheng Shang,CHN,2005-02-02
261,Daniel Michalski,POL,2000-01-11
262,Gustavo Heide,BRA,2002-02-28
263,Andres Martin,USA,2001-07-07
264,Sascha Gueymard Wayenburg,FRA,2003-08-01
265,Stefan Kozlov,USA,1998-02-01
266,Mitchell Krueger,USA,1994-01-12
267,Filip Cristian Jianu,ROU,2001-09-18
268,Edas Butvilas,LTU,2004-07-23
269,Guido Ivan Justo,ARG,1997-12-17
270,Rodrigo Pacheco Mendez,MEX,2005-04-25
271,Johannus Monday,GBR,2002-01-22
272,Miguel Damas,ESP,1999-12-21
273,Franco Roncadelli,URU,2000-02-06
274,Thiago Monteiro,BRA,1994-05-31
275,Yasutaka Uchiyama,JPN,1992-08-05
276,Florent Bax,FRA,1999-06-16
277,Daniel Rincon,ESP,2003-01-07
278,Mikhail Kukushkin,KAZ,1987-12-26
279,Paul Jubb,GBR,1999-10-31
280,Eliakim Coulibaly,CIV,2002-05-05
281,Michele Ribecai,ITA,2003-02-04
282,Franco Agamenone,ITA,1993-04-15
283,Marc Andrea Huesler,SUI,1996-06-24
284,Nikolas Sanchez Izquierdo,ESP,1999-03-15
285,Ryan Peniston,GBR,1995-11-10
286,Juan Pablo Varillas,PER,1995-10-06
287,Sumit Nagal,IND,1997-08-16
288,Igor Ribeiro Marcondes,BRA,1997-06-16
289,Robin Bertrand,FRA,2003-03-15
290,Andrej Nedic,BIH,2004-10-16
291,Duje Ajdukovic,CRO,2001-02-05
292,Murkel Alejandro Dellien Velasco,BOL,1997-09-16
293,Dominic Stricker,SUI,2002-08-16
294,Mili Poljicak,CRO,2004-07-13
295,Facundo Mena,ARG,1992-09-22
296,Hynek Barton,CZE,2004-04-05
297,Norbert Gombos,SVK,1990-08-13
298,Tiago Pereira,POR,2004-06-20
299,Pavel Kotov,RUS,1998-11-18
300,Abedallah Shelbayh,JOR,2003-11-16
301,Keegan Smith,USA,1998-06-23
302,Stefano Napolitano,ITA,1995-04-11
303,Maxim Mrva,CZE,2007-08-02
304,Matias Soto,CHI,1999-04-27
305,Alex Martinez,ESP,2001-03-19
306,Lilian Marmousez,FRA,2002-01-03
307,Jonas Forejtek,CZE,2001-03-10
308,Dimitar Kuzmanov,BUL,1993-07-28
309,Martin Krumich,CZE,2002-12-26
310,Pol Martin Tiffon,ESP,1999-07-30
311,Michael Geerts,BEL,1995-01-17
312,Max Basing,GBR,2002-10-02
313,Petr Brunclik,CZE,2006-07-17
314,Gabi Adrian Boitan,ROU,1999-07-11
315,Jacopo Berrettini,ITA,1998-11-27
316,Mats Rosenkranz,GER,1998-08-23
317,Felipe Meligeni Alves,BRA,1998-02-19
318,Sandro Kopp,AUT,2000-05-26
319,Matteo Martineau,FRA,1999-01-16
320,Philip Henning,RSA,2000-11-10
321,Antoine Ghibaudo,FRA,2005-01-25
322,Geoffrey Blancaneaux,FRA,1998-08-08
323,Maximus Jones,THA,2004-09-05
324,Juan Bautista Torres,ARG,2002-04-02
325,Tyler Zink,USA,2001-01-30
326,Giles Hussey,GBR,1997-05-26
327,Renta Tokuda,JPN,1998-03-29
328,Saba Purtseladze,GEO,2001-08-20
329,Federico Bondioli,ITA,2005-05-16
330,Cedrik Marcel Stebe,GER,1990-10-09
331,Maks Kasnikowski,POL,2003-07-06
332,Blaise Bicknell,JAM,2001-11-26
333,Stefan Dostanic,USA,2001-11-04
334,Moise Kouame,FRA,2009-03-06
335,Akira Santillan,AUS,1997-05-22
336,Oliver Tarvet,GBR,2003-10-29
337,Benjamin Hassan,LBN,1995-02-04
338,Soon Woo Kwon,KOR,1997-12-02
339,Tung Lin Wu,TPE,1998-05-12
340,Beibit Zhukayev,KAZ,2000-10-12
341,Sean Cuenin,FRA,2004-02-16
342,Petr Bar Biryukov,RUS,2002-02-28
343,Andre Ilagan,USA,2000-11-16
344,Nicolas Kicker,ARG,1992-08-16
345,James Trotter,JPN,1999-07-29
346,Juan Manuel La Serna,ARG,2004-02-05
347,Taro Daniel,JPN,1993-01-27
348,Alex Rybakov,USA,1997-01-27
349,Dali Blanch,USA,2003-03-05
350,Mathys Erhard,FRA,2001-10-26
351,Hady Habib,LIB,1998-08-21
352,Inaki Montes De La Torre,ESP,2002-10-03
353,Marc Polmans,AUS,1997-05-02
354,Calvin Hemery,FRA,1995-01-28
355,Carlos Sanchez Jover,ESP,2000-07-21
356,Tom Paris,FRA,2002-09-02
357,Fabrizio Andaloro,ITA,2001-01-31
358,Ioannis Xilas,GRE,2001-05-12
359,Oleg Prihodko,UKR,1997-10-03
360,Andrea Guerrieri,ITA,1998-12-03
361,Buvaysar Gadamauri,BEL,2000-07-10
362,Gabriele Piraino,ITA,2003-11-12
363,Sergey Fomin,UZB,2001-02-01
364,Philip Sekulic,AUS,2003-09-05
365,Hayato Matsuoka,JPN,2005-01-15
366,Viacheslav Bielinskyi,UKR,2003-12-02
367,Daniel Milavsky,USA,2001-09-12
368,San Hui Sin,KOR,1997-03-18
369,Mika Brunold,SUI,2004-10-02
370,Florian Broska,GER,1998-01-01
371,Daniel Masur,GER,1994-11-06
372,Matheus Pucinelli De Almeida,BRA,2001-04-01
373,Cezar Cretu,ROU,2001-04-24
374,Mert Alkaya,TUR,2000-06-14
375,Yuta Shimizu,JPN,1999-06-09
376,Carlo Alberto Caniato,ITA,2005-10-31
377,Gonzalo Villanueva,ARG,1995-01-13
378,Dan Martin,CAN,1999-05-09
379,Alastair Gray,GBR,1998-06-22
380,Max Alcala Gurri,ESP,2002-09-11
381,David Jorda Sanchis,ESP,1994-06-14
382,Marat Sharipov,RUS,2002-10-09
383,Adria Soriano Barrera,COL,1999-06-02
384,Eduardo Ribeiro,BRA,1998-03-17
385,Filippo Romano,ITA,2005-07-07
386,Hamish Stewart,GBR,1999-07-30
387,Luciano Emanuel Ambrogi,ARG,2003-11-19
388,Trevor Svajda,USA,2006-04-20
389,Andrew Fenty,USA,2000-03-08
390,Marvin Moeller,GER,1999-01-18
391,Christoph Negritu,GER,1994-03-21
392,Javier Barranco Cosano,ESP,1998-11-17
393,Oriol Roca Batalla,ESP,1993-04-30
394,Tommaso Compagnucci,ITA,1999-11-05
395,Olle Wallin,SWE,2001-10-22
396,Daniel Dutra Da Silva,BRA,1988-07-05
397,Yanki Erel,TUR,2000-09-25
398,Jie Cui,CHN,1998-01-24
399,Facundo Bagnis,ARG,1990-02-27
400,Lui Maxted,GBR,2003-12-02
401,Denis Yevseyev,KAZ,1993-05-22
402,Lucas Poullain,FRA,1995-12-05
403,Luca Castelnuovo,SUI,1997-01-29
404,Patrick Zahraj,GER,1999-07-17
405,Stefan Palosi,ROU,2000-01-28
406,Ognjen Milic,SRB,2007-06-22
407,Juan Estevez,ARG,2005-09-22
408,Samir Banerjee,USA,2003-10-02
409,Braden Shick,USA,2003-10-24
410,Raphael Perot,FRA,2001-06-30
411,Milos Karol,SVK,2002-12-13
412,Marek Gengel,CZE,1995-09-17
413,Garrett Johns,USA,2000-12-17
414,Andrea Picchione,ITA,1998-06-07
415,Arthur Weber,FRA,1992-05-09
416,Li Tu,AUS,1996-05-27
417,Viktor Durasovic,NOR,1997-03-19
418,Thomas Faurel,FRA,2006-01-21
419,Kasidit Samrej,THA,2001-01-20
420,Federico Arnaboldi,ITA,2000-06-18
421,Andrej Martin,SVK,1989-09-20
422,Laurent Lokoli,FRA,1994-10-18
423,Carl Emil Overbeck,DEN,2001-08-11
424,Hiroki Moriya,JPN,1990-10-16
425,Rudolf Molleker,GER,2000-10-26
426,Karan Singh,IND,2003-06-30
427,Jay Dylan Hara Friend,JPN,2003-12-22
428,Hernan Casanova,ARG,1994-02-06
429,Alfredo Perez,USA,1997-05-22
430,Andrey Chepelev,RUS,1998-08-02
431,Kilian Feldbausch,SUI,2005-09-07
432,Henry Searle,GBR,2006-03-29
433,Sebastian Sorger,AUT,2005-12-19
434,Vadym Ursu,UKR,1997-01-01
435,Albert Ramos,ESP,1988-01-17
436,Cannon Kingsley,USA,2001-05-06
437,Pedro Sakamoto,BRA,1993-06-29
438,Jack Loge,BEL,2004-11-16
439,Aidan Mchugh,GBR,2000-07-09
440,Alexey Vatutin,RUS,1992-10-27
441,Petr Nesterov,BUL,2003-03-07
442,Eero Vasa,FIN,1997-02-01
443,Joao Eduardo Schiessl,BRA,2004-08-19
444,Omar Jasika,AUS,1997-05-18
445,Neil Oberleitner,AUT,1999-08-05
446,Manas Dhamne,IND,2007-12-29
447,Sergio Callejon Hernando,ESP,2004-09-16
448,Richard Gasquet,FRA,1986-06-18
449,Justin Boulais,CAN,2001-10-20
450,Robert Strombachs,LAT,1999-09-15
451,Luca Potenza,ITA,2000-07-28
452,Enrico Dalla Valle,ITA,1998-03-21
453,Edward Winter,AUS,2004-09-15
454,Faris Zakaryia,EGY,2001-05-13
455,Jelle Sels,NED,1995-08-10
456,Matthew Dellavedova,AUS,2000-05-30
457,Cyril Vandermeersch,FRA,1999-05-06
458,Radu Albot,MDA,1989-11-11
459,Gianmarco Ferrari,ITA,2000-10-04
460,Quinn Vandecasteele,USA,2002-09-01
461,Maxim Zhukov,RUS,2005-01-30
462,Lorenzo Joaquin Rodriguez,ARG,1999-09-29
463,Lorenzo Carboni,ITA,2006-02-27
464,Arthur Nagel,FRA,2003-04-14
465,Moerani Bouzige,AUS,1999-07-13
466,Dhakshineswar Suresh,IND,2000-03-29
467,Nicolas Alvarez Varona,ESP,2001-05-18
468,Antoine Escoffier,FRA,1992-02-29
469,Miguel Tobon,COL,2006-06-19
470,Masamichi Imamura,JPN,1998-11-23
471,Alexandr Binda,ITA,2001-09-22
472,Samuele Pieri,ITA,2002-02-28
473,Christian Langmo,USA,1996-06-01
474,Olaf Pieczkowski,POL,2004-04-01
475,Mees Rottgering,NED,2007-07-07
476,Alejo Sanchez Quilez,ESP,2005-06-25
477,Johan Nikles,SUI,1997-03-23
478,Aziz Dougaz,TUN,1997-03-26
479,Bor Artnak,SLO,2004-06-04
480,James Story,GBR,2001-03-05
481,Max Wiskandt,GER,2002-02-01
482,Aryan Shah,IND,2005-11-21
483,Leo Borg,SWE,2003-05-15
484,Hikaru Shiraishi,JPN,2000-05-22
485,Olukayode Alafia Damina Ayeni,USA,1999-08-10
486,Tomasz Berkieta,POL,2006-07-21
487,Lucio Ratti,ARG,2004-01-27
488,Taha Baadi,CAN,2001-07-19
489,Filip Peliwo,POL,1994-01-30
490,Dusan Obradovic,SRB,2001-03-23
491,Kei Nishikori,JPN,1989-12-29
492,Juan Alejandro Hernandez Serrano,MEX,1999-06-23
493,Aristotelis Thanos,GRE,2001-04-07
494,Tsung Hao Huang,TPE,1999-11-22
495,Pietro Fellin,ITA,2001-08-02
496,Corentin Denolly,FRA,1997-06-06
497,Francesco Forti,ITA,1999-07-26
498,Ryan Nijboer,NED,1999-07-28
499,Gastao Elias,POR,1990-11-24
500,Tibo Colson,BEL,2000-07-12
501,Henry Bernet,SUI,2007-01-25
502,Yusuke Takahashi,JPN,1997-10-17
503,Carlos Lopez Montagud,ESP,2000-07-06
504,Mateus Alves,BRA,2001-01-23
505,Paulo Andre Saraiva Dos Santos,BRA,2000-06-23
506,Jake Delaney,AUS,1997-05-14
507,Jakub Paul,SUI,1999-03-22
508,Erik Arutiunian,BLR,2004-10-19
509,Radu Mihai Papoe,ROU,2002-08-28
510,Ivan Marrero Curbelo,ESP,1998-09-27
511,Valerio Aboian,ARG,2002-06-14
512,Lukas Pokorny,SVK,2002-02-28
513,Filippo Moroni,ITA,2001-02-01
514,Patrick Maloney,USA,2000-02-09
515,Tai Sach,AUS,2002-09-16
516,Mirza Basic,BIH,1991-07-12
517,Maxime Chazal,FRA,1993-04-24
518,Koki Matsuda,JPN,2000-10-31
519,Kirill Kivattsev,RUS,1997-10-10
520,Alibek Kachmazov,RUS,2002-08-17
521,Anton Matusevich,GBR,2001-05-30
522,Tristan Mccormick,USA,1999-04-01
523,Jacopo Vasami,ITA,2007-12-09
524,Max Schoenhaus,GER,2007-08-01
525,Shunsuke Mitsui,JPN,2002-05-20
526,Dominik Palan,CZE,2000-09-30
527,Sasi Kumar Mukund,IND,1997-01-14
528,Pavle Marinkov,AUS,2006-02-04
529,Amr Elsayed Abdou Ahmed Mohamed,EGY,1999-03-04
530,Maxwell Mckennon,USA,2002-05-17
531,Pedro Vives Marcos,ESP,2001-04-13
532,Svyatoslav Gulin,RUS,2002-12-04
533,Carlos Maria Zarate,ARG,
534,Blake Ellis,AUS,1999-01-06
535,Vladyslav Orlov,UKR,1995-05-17
536,Eric Vanshelboim,UKR,2001-07-15
537,Giovanni Fonio,ITA,1998-05-07
538,Ryuki Matsuda,JPN,1999-12-28
539,Sidharth Rawat,IND,1993-04-21
540,Semen Pankin,RUS,1999-09-04
541,Takuya Kumasaka,JPN,1998-10-12
542,Nicolas Moreno De Alboran,USA,1997-07-14
543,Alex Marti Pujolras,ESP,1999-02-10
544,Mae Malige,FRA,2006-03-29
545,Niels Visker,NED,2001-10-05
546,Stefan Adrian Andreescu,ROU,2001-12-24
547,Sergi Perez Contri,ESP,1998-01-20
548,Robin Catry,FRA,2002-03-06
549,Hyeon Chung,KOR,1996-05-19
550,Peter Fajta,HUN,2002-05-23
551,Joaquin Aguilar Cardozo,URU,2005-04-08
552,Oleksandr Ovcharenko,UKR,2001-10-17
553,Matthew William Donald,CZE,2004-11-08
554,Kokoro Isomura,JPN,2003-01-22
555,Reda Bennani,MAR,2007-02-16
556,Filip Jeff Planinsek,SLO,2001-06-29
557,Roberto Cid,DOM,1993-08-30
558,Georgii Kravchenko,UKR,2000-07-28
559,Constantin Bittoun Kouzmine,FRA,1999-01-04
560,Stefan Popovic,SRB,2003-05-25
561,Nicolas Arseneault,CAN,2007-01-18
562,Bernabe Zapata Miralles,ESP,1997-01-12
563,Etienne Donnet,FRA,2001-02-16
564,Digvijaypratap Singh,IND,2000-06-02
565,Igor Gimenez,BRA,2000-02-20
566,Louis Wessels,GER,1998-08-27
567,Karl Poling,USA,1999-08-04
568,Alexander Ritschard,SUI,1994-03-24
569,Arda Azkara,TUR,2003-03-14
570,Alberto Barroso Campos,ESP,1996-06-04
571,Emile Hudd,GBR,2000-05-27
572,Maxime Janvier,FRA,1996-10-18
573,Juan Cruz Martin Manzano,ITA,2004-12-15
574,Massimo Giunta,ITA,2004-07-09
575,Sebastian Gima,ROU,2002-05-17
576,Karim Bennani,MAR,2007-09-03
577,Nick Hardt,DOM,2000-09-20
578,Yuki Mochizuki,JPN,1997-11-23
579,Aleksandre Bakshi,GEO,1997-07-15
580,Mario Gonzalez Fernandez,ESP,2002-04-28
581,Andrew Paulson,CZE,2001-11-16
582,Juan Sebastian Gomez,COL,1992-03-05
583,Dragos Nicolae Madaras,SWE,1997-09-12
584,Alan Fernando Rubio Fierros,MEX,1999-02-03
585,Ergi Kirkin,TUR,1999-01-27
586,Branko Djuric,SRB,2005-02-10
587,Bruno Kuzuhara,USA,2004-04-01
588,Enzo Aguiard,AUS,2002-08-10
589,Dmitry Popko,KAZ,1996-10-24
590,Millen Hurrion,GBR,1999-06-22
591,Colin Sinclair,NMI,1994-12-19
592,Dan Alexandru Tomescu,ROU,1999-03-30
593,Michael Vrbensky,CZE,1999-12-26
594,Arthur Bouquier,FRA,2000-12-25
595,Manuel Mazza,ITA,1999-04-16
596,Oleksii Krutykh,UKR,2000-03-10
597,Christopher Eubanks,USA,1996-05-05
598,Stuart Parker,GBR,1997-07-30
599,Alec Deckers,NED,2000-05-02
600,Adhithya Ganesan,USA,2005-10-24
601,Felix Balshaw,FRA,2006-06-15
602,Federico Iannaccone,ITA,1999-03-26
603,Joshua Sheehy,USA,1997-01-28
604,Ivan Ivanov,BUL,2008-10-30
605,Alessandro Pecci,ITA,2001-03-23
606,Jan Kumstat,CZE,2007-01-02
607,Amir Omarkhanov,KAZ,2007-11-17
608,Cesar Bouchelaghem,FRA,2004-06-28
609,Luca Staeheli,SUI,2000-03-08
610,Denys Klok,RUS,1998-05-26
611,Karol Filar,POL,1998-08-31
612,Gerard Campana Lee,KOR,2004-10-01
613,Andrea Vavassori,ITA,1995-05-05
