round,block,player1,player1_ranking,player1_seed,player1_winner,player1_W,player1_L,player1_winrate,player1_best_round,player2,player2_ranking,player2_seed,player2_winner,player2_W,player2_L,player2_winrate,player2_best_round
Round of 64,18,Leylah Fernandez,23.0,25,False,2,4,0.333,R32,Rebeka Masarova,160.0,Q,True,0,1,0.0,R128
Round of 64,19,Liudmila Samsonova,21.0,20,True,1,4,0.2,R32,Ann Li,29.0,,False,0,1,0.0,R128
Round of 64,20,Karolina Muchova,11.0,11,False,3,2,0.6,R16,Anastasia Potapova,38.0,Q,True,3,3,0.5,R32
Round of 64,21,Naomi Osaka,16.0,15,True,9,5,0.643,QF,Eva Lys,80.0,,False,1,1,0.5,R64
Round of 64,22,Diana Shnaider,20.0,19,True,5,2,0.714,QF,Talia Gibson,62.0,,False,0,0,0.0,
Round of 64,23,Emma Navarro,35.0,28,False,1,2,0.333,R32,Elisabetta Cocciaretto,41.0,,True,3,7,0.3,R64
Round of 64,24,Iga Swiatek,3.0,4,True,21,3,0.875,W,Caty Mcnally,63.0,,False,1,1,0.5,R64
Round of 64,25,Elina Svitolina,10.0,7,True,20,9,0.69,W,Noemi Basiletti,427.0,Q,False,0,0,0.0,
Round of 64,26,Hailey Baptiste,25.0,32,True,2,1,0.667,R32,Simona Waltert,91.0,Q,False,0,0,0.0,
Round of 64,27,Madison Keys,19.0,17,True,16,10,0.615,F,Peyton Stearns,49.0,,False,5,1,0.833,SF
Round of 64,28,Nikola Bartunkova,94.0,LL,True,0,0,0.0,,Tyra Caterina Grant,234.0,WC,False,0,1,0.0,R128
Round of 64,29,Ekaterina Alexandrova,14.0,14,False,2,5,0.286,R16,Laura Siegemund,46.0,,True,3,4,0.429,R32
Round of 64,30,Jaqueline Cristian,28.0,33,False,3,2,0.6,R32,Karolina Pliskova,130.0,,True,15,8,0.652,W
Round of 64,31,Xinyu Wang,33.0,31,False,1,3,0.25,R64,Alexandra Eala,42.0,,True,0,1,0.0,R128
Round of 64,32,Elena Rybakina,2.0,2,True,11,3,0.786,W,Maria Sakkari,47.0,,False,13,7,0.65,SF
Semifinal,1,Wqf1,,,False,0,0,0.0,,Wqf2,,,False,0,0,0.0,
Semifinal,2,Wqf3,,,False,0,0,0.0,,Wqf4,,,False,0,0,0.0,
